agency,facility,active,owner,facility_type,id,city,agency_type,public_remarks,source,state,latitude,zip_code,nprid,address,remarks,slug,name,reverse_geocoded,url,longitude,entry,owner_type,smooth-surface-throughout,transfer-stations-to-play-components,ramps-to-play-components,accessible-swing,sound-play-components,sight-impaired-play-components,safety-fence,single-entrance
,,,City of New York,,69,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8503,10457,492,"E 181, E 182 Sts, Crotona & Belmont Aves",,belmont-playground-bronx-ny,Belmont Playground,,,-73.8876,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,70,New York,,Level 1: Playgrounds for All Children,,NY,40.7904,10025,493,100 ST & 5TH AVE,,bendheim-playground-new-york-ny,Bendheim Playground,,,-73.9544,,Municipal/Local Government,True,False,False,False,False,False,False,False
,Benjamin Foxen School,,,,71,Santa Maria,,,,CA,34.866016,93454,286,4949 Foxen Canyon Road,,benjamini-foxen-community-park-at-benjamin-foxen-school-santa-maria-ca,Benjamini Foxen Community Park,,,-120.296057,,,True,False,False,False,False,False,False,False
,,,City of New York,,72,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8528,10033,494,"Ft Washington Ave, W 183 St, Pinehurst Ave",,bennett-park-new-york-ny,Bennett Park,,,-73.9381,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,73,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6024,11214,495,Bath Ave Bet Bay 22 & Bay 23 Sts,,benson-playground-brooklyn-ny,Benson Playground,,,-74.0022,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,74,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5969,11214,496,BAY PKWY & CROPSEY AVENUE,,bensonhurst-park-brooklyn-ny,Bensonhurst Park,,,-73.9998,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,75,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6224,11234,497,"Ave T, Ave N, E 71 & E 72 Sts",,bergen-beach-playground-brooklyn-ny,Bergen Beach Playground,,,-73.9096,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,76,New York,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.7958,10025,498,108 ST & FIFTH AVE,,bernard-playground-new-york-ny,Bernard Playground,,,-73.9504,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of San Jose,,77,San Jose,,,,CA,37.408928,95132,1285,3154 Isadora Drive,,berryessa-creek-park-san-jose-ca,Berryessa Creek Park,,http://www.sanjoseca.gov/Facilities/Facility/Details/Berryessa-Creek-Park-45,-121.860046,,Municipal/Local Government,True,False,False,False,False,False,False,False
,,,City of New York,,78,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6641,11212,499,DUMONT AVE & BRISTOL ST,,betsy-head-memorial-playground-brooklyn-ny,Betsy Head Memorial Playground,,,-73.9117,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Haskell Recreation Area,,,,79,Sudbury,,This is a toddler playground.,,MA,42.3932331,1776,73,40 Fairbank Road,,bill-adelson-playground-at-haskell-recreation-area-sudbury-ma,Bill Adelson Playground,,,-71.443684,,,True,False,False,False,False,False,False,False
,,,City of New York,,80,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5922,11235,500,"Bedford Ave, Ave X To Ave Y, E 24 St",,bill-brown-memorial-playground-brooklyn-ny,Bill Brown Memorial Playground,,,-73.9457,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,81,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7695,10023,501,67 ST & 5TH AVE,,billy-johnson-playground-new-york-ny,Billy Johnson Playground,,,-73.9698,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,82,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7891,10029,502,E 102 To E 104 Sts & 2 Ave,,blake-hobbs-park-new-york-ny,Blake Hobbs Park,,,-73.944,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,83,Flushing,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7583,11354,503,"40 Rd, Prince & Main Sts",,bland-playground-flushing-ny,Bland Playground,,,-73.8311,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,84,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7364,10014,504,"Hudson, Bleecker & W 11 Sts",,bleecker-playground-new-york-ny,Bleecker Playground,,,-74.0055,,Municipal/Local Government,True,False,True,True,False,False,False,False
Belvidere Park District,Belvidere Park,,Belvidere Park District,,85,Belvidere,,We refer to the playground as a universally accessible playground and encourage both able bodied and disabled to use the facility. A shelter and a water feature and handicappled parking are also nearby.,,IL,42.257339,61008,421,1006 West Lincoln Avenue,,bloom-playground-at-belvidere-park-belvidere-il,Bloom Playground,,,-88.858884,,Municipal,True,False,False,False,False,False,False,False
,,,,,86,Bloomfield,,"The playground features ground-level activities and ramps, climbers and slides. Pipe Barriers and CableCore provide tactile stimulation.",,CT,41.8284323,6002,144,330 Park Avenue,,bloomfield-boundless-playground-bloomfield-ct,Bloomfield Boundless Playground,,,-72.7337058,,Federal Government,True,False,True,False,False,False,False,False
,,,City of New York,,87,Staten Island,,Level 1: Playgrounds for All Children,,NY,40.5321,10309,505,"DRUMGOOLE RD, MAGUIRE AVE",,bloomingdale-park-staten-island-ny,Bloomingdale Park,,,-74.2147,,Municipal/Local Government,True,False,False,False,False,False,False,False
,,,City of New York,,88,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7993,10025,506,"Amsterdam Ave, W 104 & W 105 Sts",,bloomingdale-playground-new-york-ny,Bloomingdale Playground,,,-73.966,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,89,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8012,10025,507,"N/s W 108 St, Columbus & Amsterdam Aves",,booker-t-washington-playground-new-york-ny,Booker T Washington Playground,,,-73.9628,,Municipal/Local Government,True,True,False,False,False,False,False,False
