agency,facility,active,owner,facility_type,id,city,agency_type,public_remarks,source,state,latitude,zip_code,nprid,address,remarks,slug,name,reverse_geocoded,url,longitude,entry,owner_type,smooth-surface-throughout,transfer-stations-to-play-components,ramps-to-play-components,accessible-swing,sound-play-components,sight-impaired-play-components,safety-fence,single-entrance
,,,City of New York,,525,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6191,11228,852,"80 To 81 Sts, 11 To 12 Aves",,patrick-orourke-park-brooklyn-ny,Patrick OâÃ¯Rourke Park,,http://www.nycgovparks.org/facilities/playgrounds/,-74.014,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of San Jose,,526,San Jose,,,,CA,37.270994,95118,1286,1416 Myrtle Ave,,paul-moore-park-san-jose-ca,Paul Moore Park,,http://www.sanjoseca.gov/Facilities/Facility/Details/Paul-Moore-Park-18,-121.889479,,Municipal/Local Government,True,False,False,False,False,False,False,False
,,,City of New York,,527,Brooklyn,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.6203,11230,853,"Ave L, E 17 To E 18 Sts",,paul-w-kolbert-playground-brooklyn-ny,Paul W Kolbert Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.958,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,528,Bronx,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.868,10464,854,ORCHARD BEACH SECTION 6-7,,pelican-bay-playground-bronx-ny,Pelican Bay Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.7934,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,529,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7476,10001,855,"W 26, 8 To 9 Aves",,penn-south-playground-new-york-ny,Penn South Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9987,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,,,530,Perkinston,,Facilities available for play during non-school hours. There are structures with accessible components as well as a Sway Fun Glider,,MS,30.7839565,39573,1255,40 2nd Street,,perkinston-elementary-school-perkinston-ms,Perkinston Elementary School,,,-89.1411078,,,True,False,False,False,False,False,False,False
,,,City of New York,,531,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7948,10029,857,E 108 To E 109 Sts Bet Park & Madison Aves,,peter-minuit-park-new-york-ny,Peter Minuit Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9472,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,532,Hollis,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7061,11423,858,"Liberty Ave, 183 Pl, 104 Ave",,peters-field-hollis-ny,Peters Field,,http://www.nycgovparks.org/facilities/playgrounds/,-73.7748,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,533,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6146,11229,859,"Nostrand Ave & Ave P, Kings Highway",,pfc-thomas-norton-mem-playground-brooklyn-ny,Pfc Thomas Norton Mem Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9449,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,534,South Richmond Hill,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.6948,11419,860,125 ST & ATLANTIC AVE,,phil-scooter-rizzuto-park-south-richmond-hill-ny,"Phil ""scooter"" Rizzuto Park",,http://www.nycgovparks.org/facilities/playgrounds/,-73.8216,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,,,535,Elizabeth,,"The park is a 10.4-acre multi-use facility that also contains a Boundless Playground area, which allows children with disabilities to play along side their peers",,NJ,,7208,1272,North Avenue,,phil-rizzuto-park-elizabeth-nj,Phil Rizzuto Park,,,,,,True,False,False,False,False,False,False,False
,Piedmont Park,,,,536,Atlanta,,,,GA,33.7858132,30306,172,400 Park Drive NE,,piedmont-park-mayors-grove-at-piedmont-park-atlanta-ga,Piedmont Park Mayors Grove,,,-84.3742034,,,True,False,False,False,False,False,False,False
,Soroptimist Park,,,,537,Wayne,,,,MI,42.2708758,48184,101,35700 John Street,,play-4-all-at-soroptimist-park-wayne-mi,Play 4 All,,,-83.3903712,,,True,False,False,False,False,False,False,False
,,,City of Round Rock,,538,Round Rock,,"The 51,000 square foot park includes Retreat Pod, Sensory Pod-Sand Box, Rock Band Pod, Rolling Hill/Performance Lawn, Sensory Pod, All Abilities Playscape, All Ability Swings and Brushy Creek Village life skills area.",,TX,30.5457456,78665,367,151 North A.W. Grimes Boulevard,,play-for-all-abilities-park-round-rock-tx,Play for All Abilities Park,,,-97.648882,,Municipal/Local Government,True,False,False,False,False,False,False,False
,,,,,539,Fulton,,This park has a castle theme with areas for children ages 2-5 years old and areas for older kids ages 5Ð12 years old. The areas are on poured in place surfacing with fencing around the entire play area.,,MS,34.2723011,38843,1252,210 Cedar Street,,play-garden-park-fulton-ms,Play Garden Park,,,-88.4102026,,,True,False,False,False,False,False,False,False
,,,City of New York,,540,Fresh Meadows,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7487,11365,861,164 ST & LITHONIA,,playground-fresh-meadows-ny,Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8031,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,541,Fresh Meadows,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7494,11365,862,ROSE & OAK AVES,,playground-fresh-meadows-ny-2,Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8073,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,542,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7871,10029,864,Fdr Drive & E 103 St,,playground-103-ciii-new-york-ny,Playground 103 CIII,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9391,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,543,Flushing,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7462,11355,865,146 ST & 56 RD,,playground-146-flushing-ny,Playground 146,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8213,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,544,New York,,Level 1: Playgrounds for All Children,,NY,40.7774,10023,866,W 70 St Bet West End & Amsterdam Aves,,playground-70-new-york-ny,Playground 70,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9839,,Municipal/Local Government,True,False,False,False,False,False,False,False
,Delano Park,,,,545,Decatur,,"From BuzzzBee's Flower Garden to Mr. Turtle and the Great Tree to Owl and the Story Circle, the Playground and Garden for All Children educates all children about the treasures of Alabama's biodiversity.  The Tennessee River-themed River Wild garden is like walking through the Tennessee River valley.",,AL,34.5982033,35601,268,"825 Gordon Drive, SE",,playground-and-garden-for-all-children-at-delano-park-decatur-al,Playground and Garden for All Children,,,-86.9772949,,,True,False,False,False,False,False,False,False
,,,City of New York,,546,Glen Oaks,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7447,11004,867,"80 Ave, 261 & 262 Sts",,playground-eighty-lxxx-glen-oaks-ny,Playground Eighty (lxxx),,http://www.nycgovparks.org/facilities/playgrounds/,-73.7096,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,547,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7887,10024,868,"S/s W 89 St, Amsterdam & Columbus Aves",,playground-eighty-nine-lxxxix-new-york-ny,Playground Eighty Nine Lxxxix,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9719,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,548,Corona,,Level 1: Playgrounds for All Children,,NY,40.7411,11368,869,111 ST & SAULTELL & 56 AVES,,playground-for-all-children-corona-ny,Playground For All Children,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8492,,Municipal/Local Government,True,False,False,False,False,False,False,False
,,,City of New York,,549,Bronx,,Level 1: Playgrounds for All Children,,NY,40.8485,10465,870,"BRUCKNER EXWY, BUHRE AVE",,playground-for-all-children-bronx-ny,Playground For All Children,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8256,,Municipal/Local Government,True,False,False,False,False,False,False,False
,Grommet Island Beach Park,,,,550,Virginia Beach,,"Surrounded by palm trees and a rubber play surface,the park on the oceanfront features cameras where visitors can look out into the water and view surfers or dolphins.  It also has musical drums, a playground with monkey bars and slides, a boardwalk that leads out to the water and a sensory wall for the autistic and visually impaired.",,VA,36.8125768,23451,196,100 2nd Street,,playground-for-everybody-at-grommet-island-beach-park-virginia-beach-va,Playground for Everybody,,,-75.9840584,,,True,False,False,False,False,False,False,False
,Winter Park,,,,551,Danville,,"This 10,000 square foot playground  was designed to be nearly 100% accessible.",,IL,40.1602864,61832,11,900 East Winter Avenue,,playground-for-everyone-at-winter-park-danville-il,Playground For Everyone,,,-87.6144754,,,True,False,False,False,False,False,False,False
,,,City of New York,,552,East Elmhurst,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7573,11369,871,Northern Blvd & 90 St,,playground-ninety-xc-east-elmhurst-ny,Playground Ninety Xc,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8786,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,553,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.728,10012,872,"S/s W Houston St, Ave Of Americas",,playground-of-the-americas-new-york-ny,Playground Of The Americas,,http://www.nycgovparks.org/facilities/playgrounds/,-74.0027,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,554,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8281,10039,873,W 152 ST & BRADHURST AVE,,playground-one-fifty-two-clii-new-york-ny,Playground One Fifty Two Clii,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9397,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,555,Jamaica,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6751,11436,874,"Van Wyck Exwy, Rockaway Blvd, 140 St, 120 Ave",,playground-oneforty-jamaica-ny,Playground One-forty,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8013,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,556,Long Island City,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7548,11101,875,Steinway St & 35 Ave,,playground-thirtyfive-long-island-city-ny,Playground Thirty-five,,http://www.nycgovparks.org/facilities/playgrounds/,-73.922,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Alief Park,,,,557,Houston,,,,TX,29.701779,77072,206,11903 Bellaire Boulevard,,playground-without-limits-at-alief-park-houston-tx,Playground Without Limits,,,-95.589954,,,True,False,False,False,False,False,False,False
,Metropolitan Multi-Service Center,,,,558,Houston,,,,TX,29.751912,77019,208,1475 West Gray Street,,playground-without-limits-at-metropolitan-multiservice-center-houston-tx,Playground Without Limits,,,-95.400792,,,True,False,False,False,False,False,False,False
,Tidwell Park,,,,559,Houston,,,,TX,29.834966,77016,207,9720 Spaulding,,playground-wtihout-limits-at-tidwell-park-houston-tx,Playground Wtihout Limits,,,-95.3095452,,,True,False,False,False,False,False,False,False
,,,City of New York,,560,Staten Island,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.5888,10305,876,CAPADONNO BLVD & SAND LANE,,playland-staten-island-ny,Playland,,http://www.nycgovparks.org/facilities/playgrounds/,-74.0674,,Municipal/Local Government,True,False,True,True,False,False,False,False
,Karst Farm Park,,,,561,Bloomington,,"The first phases of this Playscape includes a water splash pad, a toddler playground, a ramped play unit for 5-12 year-olds, accessible sand tables and a shelter with accessible picnic areas.",,IN,39.140687,47403,22,2450 South Endwright Road,,playscape-playground-at-karst-farm-park-bloomington-in,Playscape Playground,,,-86.600582,,,True,False,False,False,False,False,False,False
,,,City of New York,,562,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.688,11221,877,"Monroe To Madison Sts, Patchen & Ralph Aves",,plce-ofcr-reinaldo-salgado-playground-brooklyn-ny,Plce Ofcr Reinaldo Salgado Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9257,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,563,Bronx,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.844,10452,878,"Edward L Grant Hwy, Plimpton Ave",,plimpton-playground-bronx-ny,Plimpton Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9223,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,564,South Ozone Park,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6673,11420,879,"N Conduit Ave, 134 St, 135 Ave, 130 Pl",,police-officer-edward-byrne-park-south-ozone-park-ny,Police Officer Edward Byrne Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8074,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,565,Ozone Park,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6818,11417,880,"Liberty Ave, 101 To 102 Sts",,police-officer-nicholas-demuti-ozone-park-ny,Police Officer Nicholas Demuti,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8393,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,566,Flushing,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7361,11367,881,"Kissena Blvd, 65 Ave",,pomonok-playground-flushing-ny,Pomonok Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8139,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,567,College Point,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7813,11356,882,"21 Ave, 124 St, 20 Ave, 123 St",,poppenhusen-playground-college-point-ny,Poppenhusen Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8446,,Municipal/Local Government,True,False,True,True,False,False,False,False
,George Park,,,,568,Harrisburg,,"The  playground includes a large tree-house with ramps at different levels, sensory panels and musical instruments. There is an airplane and a train as well as a large kaleidoscope in a lookout tower and a recording studio and stage.",,PA,,17112,351,6003 Old Jonestown Road,,possibility-place-at-george-park-harrisburg-pa,Possibility Place,,http://www.inspiredrecreation.org/,,,,True,False,True,False,True,False,False,False
,Upper Lake Park,,City of Port Washington,,569,Port Washington,,"This playground includes a Pirate Ship complete with waves, a rain wheel and a motion platform.  There are slides, bridges, rings and monkey bars (both high and low), and tunnels, a lighthouse, rock wall, chain walk, and balance beams. The TOT lot offers  a fairy tale castle, bouncy bridge, police car and a raised sandbox.  Both areas include a variety of swings and the  music area features palm drums, metalliphones and a drum shaped like an alligator.",,WI,43.3934592,53074,123,498 North Lake Street,,possibility-playground-at-upper-lake-park-port-washington-wi,Possibility Playground,,http://possibilityplayground.org/,-87.8659661,,Other,True,False,False,False,False,False,False,False
,,,City of New York,,570,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6713,11212,883,Sackman To Powell Sts Bet Glenmore & Pitkin Aves,,powell-playground-brooklyn-ny,Powell Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9048,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,571,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6182,11234,884,Ave N & Utica Ave,,power-playground-brooklyn-ny,Power Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9273,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,572,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6926,11205,885,"Willoughby Ave, Emerson Pl",,pratt-playground-brooklyn-ny,Pratt Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9625,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,573,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8402,10457,886,CROTONA N BET MARMION/PROSPECT,,prospect-park-2-bronx-ny,Prospect Park (2),,http://www.nycgovparks.org/facilities/playgrounds/,-73.8912,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,574,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8433,10457,887,"Clinton Ave, E 176 St, Prospect Ave",,prospect-playground-bronx-ny,Prospect Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8907,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,575,Flushing,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7219,11367,1083,137 St & 77 Ave,,queens-valley-playground-flushing-ny,Queens Valley Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8237,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,576,Long Island City,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.7566,11101,1084,41ST RD AND 12TH ST (EAST OF VERNON BLVD),,queensbridge-baby-park-long-island-city-ny,Queensbridge Baby Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9486,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,577,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8473,10033,1085,W 180 ST & AMSTERDAM AVE,,quisqueya-playground-new-york-ny,Quisqueya Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9311,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,578,Flushing,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7492,11355,1086,COLDEN & JUNIPER STS,,rachel-carson-playground-flushing-ny,Rachel Carson Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8224,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Martin L. Snook Park,,,,579,Hagerstown,,,,MD,39.6124249,21740,65,17901 Halfway Boulevard,,rainbow-connection-at-martin-l-snook-park-hagerstown-md,Rainbow Connection,,,-77.7551979,,,True,False,False,False,False,False,False,False
,,,City of New York,,580,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6406,11220,1087,55 & 56 Sts At 6 Ave,,rainbow-park-brooklyn-ny,Rainbow Park,,http://www.nycgovparks.org/facilities/playgrounds/,-74.0111,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Panthorn Park,,,,581,Southington,,,,CT,41.5680904,6479,160,420 Burritt Street,,rainbow-playground-at-panthorn-park-southington-ct,Rainbow Playground,,,-72.9149424,,Municipal/Local Government,True,False,False,False,False,False,False,False
,Krossroads Park,,,,582,Saginaw,,,,MI,43.4733443,49604,96,4548 Fashion Square Boulevard,,rainbows-end-at-krossroads-park-saginaw-mi,Rainbow's End,,,-83.969579,,,True,False,False,False,False,False,False,False
,,,City of New York,,583,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6369,11219,1088,"Ft Hamilton Pkwy, 10 Ave, 52 To 53 Sts",,rappaport-playground-brooklyn-ny,Rappaport Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-74.0007,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,584,Astoria,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7629,11106,1089,"35 Ave, 21 St, 34 Ave",,ravenswood-playground-astoria-ny,Ravenswood Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9352,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,585,Bayside,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7717,11361,1090,"33 Ave, 210 St, 32 Ave, Cpl Kennedy St",,raymond-oconnor-park-bayside-ny,Raymond O'connor Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.7794,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,586,Hollis,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.727,11423,1091,N/O G C PKWY OPP 193 ST,,redwood-playground-hollis-ny,Redwood Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.7755,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Brookside Park,,,,587,Pasadena,,,,CA,34.1518783,91103,185,400 North Arroyo Boulevard,,reeses-retreat-at-brookside-park-pasadena-ca,Reese's Retreat,,,-118.1661279,,,True,False,False,False,False,False,False,False
,Brookside Park,,,,588,Pasadena,,"The playground includes a pirate ship, ramps, a cannonball climber, an eight-bay swing set and sensory play structures that invite children to play with water and sand.",,CA,34.15168,91103,277,360 North Arroyo Boulevard,,reeses-retreat-at-brookside-park-pasadena-ca-2,Reese's Retreat,,,-118.1660285,,,True,False,True,False,False,False,False,False
,,,City of New York,,589,Maspeth,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7186,11378,1092,"Fresh Pond Rd, 63 St, 59 Drive",,reiff-playground-maspeth-ny,Reiff Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9017,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Pan Pacific Park,,City of Los Angeles,,590,Los Angeles,,"The park has play areas for 2-5 year-olds and 5-12 year-olds. The older children's area is in the shape of a train, with sound features that include a train engine, whistle and sound of a train going over tracks. Both play areas have swing sets, shade structures and colorful resilient rubberized surfacing. Another special feature of the 17,000-square-foot playground is a foot path with a water element that will provide a unique sensory activity, complete with gentle mist.",,CA,34.0755802,90036,113,7600 Beverly Boulevard,,renees-place-at-pan-pacific-park-los-angeles-ca,Renee's Place,,,-118.3541495,,Municipal,True,False,False,False,False,False,False,False
,,,City of New York,,591,Bronx,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.8271,10459,1093,"Rev James Polite Ave, Intervale Ave bet. Home St a",,rev-j-polite-pg-stebbins-playground-bronx-ny,Rev J Polite Pg & Stebbins Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8971,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,592,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8876,10466,1094,"White Plains Rd, E 226 St, Barnes Ave, E 225 St",,rienzi-playground-bronx-ny,Rienzi Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8586,,Municipal/Local Government,True,True,False,False,False,False,False,False
,North Beverly Elementary School,,,,593,Beverly,,,,MA,42.5664566,1915,46,48 Putnam Street,,rising-stars-playground-at-north-beverly-elementary-school-beverly-ma,Rising Stars Playground,,,-70.9398865,,,True,False,False,False,False,False,False,False
,,,City of New York,,594,Bronx,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.8253,10451,1095,E. 157th St & River Ave,,river-avenue-playground-bronx-ny,River Avenue Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.927,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of San Jose,,595,San Jose,,,,CA,37.403443,95134,1289,400 River Oaks Parkway,,river-oaks-park-san-jose-ca,River Oaks Park,,,-121.929814,,Municipal/Local Government,True,False,False,False,False,False,False,False
,,,City of New York,,596,New York,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.787,10024,1096,W 83 ST & RIVERSIDE DR,,river-run-playground-new-york-ny,River Run Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9822,,Municipal/Local Government,True,False,False,True,False,False,False,False
,,,City of New York,,597,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8257,10031,1097,W 142 ST & RIVERSIDE DR,,riverbank-playground-new-york-ny,Riverbank Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9538,,Municipal/Local Government,True,True,False,False,False,False,False,False
,McGregor Park,,,,598,Clarksville,,,,TN,36.534912,37040,218,640 North Riverside Drive,,riverwalk-at-mcgregor-park-clarksville-tn,Riverwalk,,,-87.367364,,,True,False,False,False,False,False,False,False
,,,City of New York,,599,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7214,10002,1098,RIVINGTON ST,,rivington-st-playground-new-york-ny,Rivington St Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9917,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,600,Jamaica,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6742,11434,1099,NR GUY BREWER BLVD & 134 AVE,,rochdale-park-jhs-72-jamaica-ny,Rochdale Park (jhs 72),,http://www.nycgovparks.org/facilities/playgrounds/,-73.775,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,601,Far Rockaway,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.585,11693,1100,B 84 ST & SHORE FRONT PKWY,,rockaway-playground-m-far-rockaway-ny,Rockaway Playground - M,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8099,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,602,Far Rockaway,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.5854,11693,1101,B 82 ST & SHORE FRONT PKWY,,rockaway-playground-n-far-rockaway-ny,Rockaway Playground - N,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8087,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,603,Ozone Park,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6707,11417,1102,"N Conduit Ave, Arion Rd, 149 Ave",,rocket-park-ozone-park-ny,Rocket Park,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8462,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,604,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7097,11211,1103,"Rodney, S 3 & S 4 Sts",,rodney-playground-south-brooklyn-ny,Rodney Playground South,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9559,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,605,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7063,11211,1104,"Wilson & Lee Aves, Taylor St, Bedford Ave",,roebling-playground-brooklyn-ny,Roebling Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9618,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,606,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6558,11226,1105,New York & Clarkson Aves,,rolf-henry-playground-brooklyn-ny,Rolf Henry Playground,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9475,,Municipal/Local Government,True,False,True,True,False,False,False,False
,Edwards Beach,,,,607,Westford,,,,MA,42.6152749,1886,78,55 Williams Avenue,,ronan-mcelligott-memorial-playground-at-edwards-beach-westford-ma,Ronan McElligott Memorial Playground,,,-71.41838,,,True,False,False,False,False,False,False,False
